date,deaths_new,deaths_bid,deaths_new_dod,deaths_bid_dod,deaths_unvax,deaths_pvax,deaths_fvax,deaths_boost,deaths_tat
2021/2/8,24,6,23,6,23,0,0,0,3
2021/2/9,13,0,13,0,13,0,0,0,1
2021/2/10,14,0,11,2,11,0,0,0,2
2021/2/11,1,0,13,0,13,0,0,0,0
2021/2/12,18,1,6,0,6,0,0,0,1
2021/2/13,6,1,15,2,15,0,0,0,3
2021/2/14,8,0,9,1,9,0,0,0,1
2021/2/15,11,0,14,3,14,0,0,0,5
2021/2/16,9,1,13,1,13,0,0,0,1
2021/2/17,23,2,7,1,7,0,0,0,3
2021/2/18,1,0,7,2,7,0,0,0,14
2021/2/19,39,7,9,1,9,0,0,0,10
2021/2/20,9,1,8,0,8,0,0,0,1
2021/2/21,6,1,5,0,5,0,0,0,3
2021/2/22,7,2,10,1,10,0,0,0,2
2021/2/23,20,6,10,2,10,0,0,0,4
2021/2/24,12,1,5,0,5,0,0,0,7
2021/2/25,13,2,6,1,6,0,0,0,32
2021/2/26,10,5,3,0,3,0,0,0,28
2021/2/27,10,2,10,1,10,0,0,0,4
2021/2/28,9,0,5,0,5,0,0,0,2
2021/3/1,5,0,4,0,4,0,0,0,11
2021/3/2,6,1,9,2,9,0,0,0,2
2021/3/3,7,0,4,0,4,0,0,0,3
2021/3/4,5,0,3,0,3,0,0,0,2
2021/3/5,6,1,8,1,8,0,0,0,21
2021/3/6,7,0,4,0,4,0,0,0,1
2021/3/7,3,0,5,0,5,0,0,0,11
2021/3/8,8,1,6,1,6,0,0,0,2
2021/3/9,9,2,8,0,8,0,0,0,4
2021/3/10,5,0,7,1,7,0,0,0,1
2021/3/11,9,1,4,0,4,0,0,0,3
2021/3/12,3,1,3,0,3,0,0,0,2
2021/3/13,3,0,3,0,3,0,0,0,2
2021/3/14,4,0,4,0,4,0,0,0,0
2021/3/15,3,0,4,0,4,0,0,0,2
2021/3/16,5,0,3,0,3,0,0,0,1
2021/3/17,2,0,2,0,2,0,0,0,3
2021/3/18,3,0,1,0,1,0,0,0,2
2021/3/19,2,0,1,0,1,0,0,0,7
2021/3/20,4,0,5,1,5,0,0,0,15
2021/3/21,4,0,5,1,5,0,0,0,15
2021/3/22,5,1,2,0,2,0,0,0,1
2021/3/23,1,0,2,2,2,0,0,0,1
2021/3/24,2,0,4,1,4,0,0,0,3
2021/3/25,2,0,2,0,2,0,0,0,0
2021/3/26,1,0,1,0,1,0,0,0,5
